model_name,model_year,sale_price,mileage,car_age,yearly_maint,maintenance_status,assigned_tier
"GLC Class",2018,30499,8995,8,1542,Major,Premium
"A Class",2019,20799,11452,7,635,Minor,Economy
"C Class",2018,29099,4898,8,1028,Major,Standard
"CL Class",2018,18049,11822,8,2228,Major,Luxury
"A Class",2017,15249,30761,9,740,Minor,Economy
"C Class",2019,30949,2983,7,952,Minor,Standard
"C Class",2019,20699,13628,7,952,Minor,Standard
"GLC Class",2018,32399,8900,8,1542,Major,Premium
"E Class",2019,38509,1000,7,1428,Minor,Premium
"GLC Class",2019,36249,2580,7,1428,Minor,Premium
"C Class",2019,29799,9959,7,952,Minor,Standard
"E Class",2017,21499,24938,9,1666,Minor,Premium
"A Class",2017,14699,17996,9,740,Minor,Economy
"C Class",2019,25199,15238,7,952,Minor,Standard
"GLA Class",2016,17999,19885,10,800,Major,Economy
"E Class",2019,38699,3878,7,1428,Minor,Premium
"C Class",2019,29749,10,7,952,Minor,Standard
"B Class",2019,22499,13021,7,635,Minor,Economy
"E Class",2019,32849,7669,7,1428,Minor,Premium
"GLC Class",2019,43499,13075,7,1428,Minor,Premium
"C Class",2019,43049,7351,7,952,Minor,Standard
"E Class",2019,41799,7041,7,1428,Minor,Premium
"E Class",2017,20299,25479,9,1666,Minor,Premium
"GLA Class",2018,26299,7293,8,686,Major,Economy
"CL Class",2019,27149,2000,7,2063,Minor,Luxury
"C Class",2017,17599,21516,9,1111,Minor,Standard
"C Class",2019,19799,14272,7,952,Minor,Standard
"C Class",2019,30049,2011,7,952,Minor,Standard
"E Class",2019,26949,10862,7,1428,Minor,Premium
"E Class",2018,23399,9729,8,1542,Major,Premium
"M Class",2015,23249,30198,11,1943,Minor,Premium
"C Class",2019,25399,13636,7,952,Minor,Standard
"C Class",2019,26249,8588,7,952,Minor,Standard
"C Class",2019,20249,10918,7,952,Minor,Standard
"C Class",2019,19849,14085,7,952,Minor,Standard
"C Class",2019,25599,12187,7,952,Minor,Standard
"C Class",2019,24799,13012,7,952,Minor,Standard
"C Class",2019,24799,12999,7,952,Minor,Standard
"E Class",2019,25699,12050,7,1428,Minor,Premium
"C Class",2019,25699,6184,7,952,Minor,Standard
"C Class",2019,30399,9829,7,952,Minor,Standard
"C Class",2019,20599,12091,7,952,Minor,Standard
"A Class",2019,19649,9153,7,635,Minor,Economy
"E Class",2019,36099,8652,7,1428,Minor,Premium
"C Class",2019,25799,13571,7,952,Minor,Standard
"C Class",2019,23849,15499,7,952,Minor,Standard
"GLA Class",2019,23299,7727,7,635,Minor,Economy
"GLA Class",2019,24049,14723,7,635,Minor,Economy
"C Class",2019,20549,13243,7,952,Minor,Standard
"GLC Class",2017,27799,22414,9,1666,Minor,Premium
"E Class",2019,33499,8493,7,1428,Minor,Premium
"E Class",2018,30399,5789,8,1542,Major,Premium
"A Class",2018,23399,2332,8,686,Major,Economy
"E Class",2016,17299,39765,10,1799,Major,Premium
"C Class",2016,18349,33456,10,1199,Major,Standard
"E Class",2019,27999,6374,7,1428,Minor,Premium
"GLC Class",2019,38399,3772,7,1428,Minor,Premium
