model_name,model_year,sale_price,mileage,car_age,yearly_maint,maintenance_status,assigned_tier
"A Class",2019,24500,8092,7,635,Minor,Economy
"C Class",2017,20600,29543,9,1111,Minor,Standard
"GLC Class",2019,32000,9023,7,1428,Minor,Premium
"B Class",2013,9500,40340,13,1007,Minor,Economy
"GLE Class",2018,45200,9139,8,1542,Major,Premium
"E Class",2019,30879,7686,7,1428,Minor,Premium
"C Class",2018,23800,12745,8,1028,Major,Standard
"E Class",2019,34950,13997,7,1428,Minor,Premium
"GLA Class",2015,20999,13510,11,864,Minor,Economy
"C Class",2017,43949,14263,9,1111,Minor,Standard
"A Class",2016,12149,36001,10,800,Major,Economy
